Date,Open,High,Low,Close
08/08/2024,"0.5993","0.6015","0.5976","0.6013"
08/07/2024,"0.5954","0.6026","0.5934","0.5995"
08/06/2024,"0.5944","0.5982","0.5912","0.5950"
08/05/2024,"0.5959","0.5971","0.5850","0.5940"
08/02/2024,"0.5948","0.5985","0.5930","0.5958"
08/01/2024,"0.5949","0.5981","0.5937","0.5950"
07/31/2024,"0.5904","0.5962","0.5889","0.5952"
07/30/2024,"0.5876","0.5907","0.5864","0.5903"
07/29/2024,"0.5888","0.5902","0.5857","0.5877"
07/26/2024,"0.5887","0.5907","0.5882","0.5887"
07/25/2024,"0.5931","0.5939","0.5882","0.5886"
07/24/2024,"0.5956","0.5963","0.5913","0.5929"
07/23/2024,"0.5980","0.5983","0.5950","0.5957"
07/22/2024,"0.6009","0.6029","0.5971","0.5978"
07/19/2024,"0.6045","0.6047","0.6005","0.6009"
07/18/2024,"0.6079","0.6085","0.6043","0.6044"
07/17/2024,"0.6049","0.6098","0.6035","0.6083"
07/16/2024,"0.6073","0.6080","0.6036","0.6051"
07/15/2024,"0.6121","0.6121","0.6072","0.6076"
07/12/2024,"0.6098","0.6127","0.6075","0.6119"
07/11/2024,"0.6083","0.6135","0.6079","0.6094"
07/10/2024,"0.6126","0.6145","0.6065","0.6082"
07/09/2024,"0.6124","0.6134","0.6112","0.6125"
07/08/2024,"0.6137","0.6154","0.6122","0.6126"
07/05/2024,"0.6116","0.6150","0.6110","0.6145"
07/04/2024,"0.6103","0.6124","0.6101","0.6117"
07/03/2024,"0.6078","0.6130","0.6069","0.6102"
07/02/2024,"0.6077","0.6084","0.6047","0.6077"
07/01/2024,"0.6090","0.6109","0.6064","0.6076"
06/28/2024,"0.6086","0.6106","0.6057","0.6092"
06/27/2024,"0.6081","0.6109","0.6068","0.6082"
06/26/2024,"0.6122","0.6128","0.6073","0.6082"
06/25/2024,"0.6124","0.6131","0.6107","0.6120"
06/24/2024,"0.6119","0.6141","0.6104","0.6126"
06/21/2024,"0.6121","0.6135","0.6109","0.6119"
06/20/2024,"0.6135","0.6149","0.6111","0.6120"
06/19/2024,"0.6145","0.6146","0.6127","0.6133"
06/18/2024,"0.6131","0.6149","0.6096","0.6143"
06/17/2024,"0.6149","0.6149","0.6104","0.6132"
06/14/2024,"0.6174","0.6174","0.6115","0.6142"
06/13/2024,"0.6216","0.6216","0.6159","0.6168"
06/12/2024,"0.6146","0.6222","0.6134","0.6186"
06/11/2024,"0.6127","0.6151","0.6117","0.6143"
06/10/2024,"0.6131","0.6131","0.6099","0.6128"
06/07/2024,"0.6200","0.6204","0.6101","0.6104"
06/06/2024,"0.6193","0.6216","0.6173","0.6199"
06/05/2024,"0.6177","0.6209","0.6170","0.6194"
06/04/2024,"0.6181","0.6199","0.6155","0.6178"
06/03/2024,"0.6154","0.6194","0.6133","0.6192"
05/31/2024,"0.6122","0.6166","0.6113","0.6143"
05/30/2024,"0.6115","0.6132","0.6088","0.6115"
05/29/2024,"0.6143","0.6151","0.6111","0.6116"
05/28/2024,"0.6148","0.6171","0.6137","0.6142"
05/27/2024,"0.6123","0.6155","0.6109","0.6151"
05/24/2024,"0.6101","0.6127","0.6087","0.6118"
05/23/2024,"0.6095","0.6134","0.6091","0.6099"
